meta player id=0 name="Player\" Test"
meta player id=1 name="Player"
meta player id=3 name="Player"
meta player id=4 name="Player"
meta player id=5 name="Player"
meta player id=6 name="Player"
meta player id=7 name="Player"
meta player id=8 name="Player"
meta player id=9 name="Player"
meta player id=10 name="Player"
meta player id=11 name="Player"
meta player id=12 name="Player"
meta player id=13 name="Player"
meta player id=14 name="Player"
meta player id=15 name="Player"
meta player id=16 name="Player"
meta player id=17 name="Player"
meta player id=18 name="Player"
meta keys c=cities T=tank_kd g=gold B=bonus t=tank_kills i=income b=bounty d=deaths a=ss_deaths S=ss_kd K=kd n=denies s=ss_kills G=gold_earned k=kills A=tank_deaths
game map="Risk Europe" map_version="3.02-prerelease" mode="Standard" diplomacy="FFA" fog="Off" promode="Off" overtime="Turbo (Turn 0)"
game round=1
game turn=0
player 1 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 0 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 16 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 6 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 10 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 14 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 15 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 18 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 9 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 7 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 13 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 11 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 4 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 12 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 17 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 5 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 3 i=4 c=12 g=4 G=4 b=0 B=0 n=0 k=0 d=0 K=0.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
game turn=1
player 14 i=9 c=14 g=10 G=14 b=1 B=0 n=0 k=5 d=1 K=5.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 0 i=9 c=15 g=10 G=13 b=0 B=0 n=0 k=3 d=0 K=3.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 3 i=8 c=14 g=8 G=12 b=0 B=0 n=0 k=2 d=0 K=2.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 6 i=8 c=13 g=8 G=12 b=0 B=0 n=0 k=2 d=1 K=2.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 16 i=7 c=13 g=7 G=11 b=0 B=0 n=0 k=2 d=1 K=2.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 15 i=6 c=14 g=6 G=10 b=0 B=0 n=0 k=2 d=1 K=2.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 5 i=6 c=11 g=6 G=10 b=0 B=0 n=0 k=1 d=2 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 1 i=6 c=11 g=6 G=10 b=0 B=0 n=0 k=1 d=2 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 11 i=6 c=14 g=6 G=10 b=0 B=0 n=0 k=2 d=1 K=2.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=6 c=12 g=6 G=11 b=1 B=0 n=0 k=5 d=2 K=2.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
